"filename", "language", "TypeScript", "YAML", "Shell Script", "Markdown", "JSON", "TypeScript JSX", "Nix", "XML", "CSS", "Python", "JavaScript", "comment", "blank", "total"
"/home/ewt/typetutor-deno/hooks/useMobileInput.ts", "TypeScript", 214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27, 248
"/home/ewt/typetutor-deno/hooks/useQuoteInput.ts", "TypeScript", 328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 37, 438
"/home/ewt/typetutor-deno/hooks/useTypingMetrics.ts", "TypeScript", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 106
"/home/ewt/typetutor-deno/internationalization-restructure-plan.md", "Markdown", 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 36, 175
"/home/ewt/typetutor-deno/islands/CodeTyperMode.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 329, 0, 0, 0, 0, 0, 50, 42, 421
"/home/ewt/typetutor-deno/islands/GameScoreDisplayIsland.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 177, 0, 0, 0, 0, 0, 11, 20, 208
"/home/ewt/typetutor-deno/islands/GlobalLanguageSelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 1, 7, 90
"/home/ewt/typetutor-deno/islands/HamburgerMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 222, 0, 0, 0, 0, 0, 5, 11, 238
"/home/ewt/typetutor-deno/islands/KeyLogger.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 9, 22, 213
"/home/ewt/typetutor-deno/islands/KeyboardHeatmapIsland.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 235, 0, 0, 0, 0, 0, 7, 26, 268
"/home/ewt/typetutor-deno/islands/NewQuoteTyperMode.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 903, 0, 0, 0, 0, 0, 83, 94, 1080
"/home/ewt/typetutor-deno/islands/RandomSettings.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 19, 16, 177
"/home/ewt/typetutor-deno/islands/ReactiveDescription.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"/home/ewt/typetutor-deno/islands/RenderedQuoteResult.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 3, 51
"/home/ewt/typetutor-deno/islands/StatsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 200, 0, 0, 0, 0, 0, 7, 21, 228
"/home/ewt/typetutor-deno/islands/TranslationInitializer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 4, 9, 67
"/home/ewt/typetutor-deno/islands/TrigraphsTyperMode.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 379, 0, 0, 0, 0, 0, 56, 37, 472
